"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"CANCELLED","173374989465651456_1","2025-07-06","Rajasthan","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","L","1","743.0","632.0",
"DELIVERED","173379265931872512_1","2025-07-06","West Bengal","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","30A","1","734.0","624.0","TAIARDF10879815"
"DELIVERED","173388090916532352_1","2025-07-06","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","36A","1","743.0","632.0","TAIARDF10879833"
"DELIVERED","173391895129289792_1","2025-07-06","Kerala","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","34A","1","743.0","632.0","TAIARDF10879811"
"DELIVERED","173396853815833728_1","2025-07-06","Madhya Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","M","1","734.0","624.0","TAIARDF10879813"
"RTO_COMPLETE","173398510876292160_1","2025-07-06","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","XL","1","734.0","624.0","TAIARDF10879819"
"RTO_COMPLETE","173400957057299520_1","2025-07-06","Punjab","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","28A","1","734.0","624.0","TAIARDF10879818"
"DELIVERED","173406157214118016_1","2025-07-06","Uttar Pradesh","High Waist Mid Thigh Shaper Women's Shapewear","jSAh_woJ","L","1","112.0","96.0","TAIARDF10879835"
"DELIVERED","173411566509638656_1","2025-07-06","West Bengal","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","XL","1","734.0","624.0","TAIARDF10879824"
"DELIVERED","173413317149213696_1","2025-07-06","Punjab","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","L","1","734.0","624.0","TAIARDF10879822"
"DELIVERED","173430385680600448_1","2025-07-06","Bihar","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","S","1","734.0","624.0","TAIARDF10879820"
"DELIVERED","173431319681403136_1","2025-07-06","Madhya Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","tmcA8cP5","36A","1","734.0","624.0","TAIARDF10879810"
"CANCELLED","173431977496343616_1","2025-07-06","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","L","1","743.0","632.0",
"DELIVERED","173433445108478080_1","2025-07-06","Madhya Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","M","1","743.0","632.0","TAIARDF10879832"
"RTO_COMPLETE","173443003548534080_1","2025-07-06","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XL","1","734.0","705.0","TAIARDF10879817"
"DELIVERED","173445909869249537_1","2025-07-06","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","tmcA8cP5","36A","1","734.0","624.0","TAIARDF10879809"
"CANCELLED","173454292768804416_1","2025-07-06","Assam","Women's Cotton Front Hook Bra - Deep Panel & Molded Cups for Everyday Comfort","Cotton Front Hook Bra","M","1","780.0","663.0",
"DELIVERED","173457773538411840_1","2025-07-06","Jharkhand","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","XXL","1","743.0","632.0","ONF062537065621"
"CANCELLED","173464926098878592_1","2025-07-06","Delhi","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","XXL","1","743.0","632.0",
"DELIVERED","173464975451377088_1","2025-07-06","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","L","1","734.0","624.0","ONF062537065706"
"RTO_COMPLETE","173467639631938880_1","2025-07-06","Bihar","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","32A","1","743.0","632.0","ONF062537065715"
"CANCELLED","173467864800227456_1","2025-07-06","Bihar","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","32A","1","743.0","632.0",
"DELIVERED","173471284483387520_1","2025-07-06","Gujarat","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","34A","1","734.0","624.0","TAIARDF10879803"
"DELIVERED","173474032385847424_1","2025-07-06","Uttar Pradesh","Women's Cotton Front Hook Bra - Deep Panel & Molded Cups for Everyday Comfort","Cotton Front Hook Bra","L","1","780.0","663.0","ONF062537065629"
"DELIVERED","173478830701301314_1","2025-07-06","Dadra and Nagar Haveli and Daman and Diu","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","L","1","734.0","624.0","TAIARDF10879808"
"DELIVERED","173479850076556864_1","2025-07-06","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","34A","1","734.0","624.0","TAIARDF10879806"
"DELIVERED","173486361025283392_1","2025-07-06","Delhi","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","32A","1","734.0","624.0","TAIARDF10879807"
