"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","174798754573550912_1","2025-07-10","Delhi","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","32A","1","734.0","734.0","ONF062537065686"
"DELIVERED","174821893857931392_1","2025-07-10","West Bengal","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ( With Strapless Shapewear Bodysuit for Women Free )","zbWWNx5G","34A","1","982.0","982.0","ONF062537065695"
"RTO_COMPLETE","174888450502181888_1","2025-07-10","Maharashtra","High Waist Mid Thigh Shaper Women's Shapewear","jSAh_woJ","L","1","110.0","110.0",
"DELIVERED","174947649916761216_1","2025-07-10","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","36A","1","743.0","743.0","ONF062537065654"
"DELIVERED","175055716223321728_1","2025-07-11","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","XL","1","743.0","743.0","ONF062537065653"
"DELIVERED","175058130061553793_1","2025-07-11","Delhi","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XL","1","734.0","734.0","ONF062537065631"
"DELIVERED","175196304182365440_1","2025-07-11","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","r7CkYnwW","L","1","743.0","743.0","ONF062537065655"
"DELIVERED","175209511991135488_1","2025-07-11","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","30A","1","734.0","734.0","ONF062537065640"
"DELIVERED","175247258673215169_1","2025-07-11","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","S","1","734.0","734.0","ONF062537065637"
"CANCELLED","175305584966629312_1","2025-07-11","Andhra Pradesh","Women's Cotton Front Hook Bra - Deep Panel & Molded Cups for Everyday Comfort","Cotton Front Hook Bra","M","1","780.0","780.0",
"DELIVERED","175429020116318016_1","2025-07-12","Kerala","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","XXL","1","743.0","743.0","ONF062537065670"
"DOOR_STEP_EXCHANGED","171316411166723456_1","2025-07-12","Rajasthan","Women's Cotton Front Hook Bra - Deep Panel & Molded Cups for Everyday Comfort","Cotton Front Hook Bra","L","1","758.0","758.0","ONF062537065642"
"DELIVERED","175480039893126272_1","2025-07-12","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","36A","1","743.0","743.0","ONF062537065651"
"DELIVERED","175490738376931200_1","2025-07-12","Punjab","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XXL","1","743.0","743.0","ONF062537065644"
"DELIVERED","175507840511790016_1","2025-07-12","Karnataka","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XXL","1","743.0","743.0","ONF062537065643"
